eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_matthews,eval_runtime,eval_samples_per_second,eval_steps_per_second,area_percentage,block_size,grid_size,pairs,layer
0.8082919716835022,0.8082454458293384,0.8260325406758448,0.9153952843273232,0.868421052631579,0.5278612142968102,4.1609,250.666,2.644,0.3,128,"(6,6)","{(0,1),(4,0),(2,1),(0,0),(1,1),(0,3),(3,3),(5,0),(0,5),(2,2),(5,3)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.8008860945701599,0.8072866730584851,0.8307888040712468,0.9056865464632455,0.8666224286662243,0.5281412754154977,4.3851,237.849,2.508,0.3,128,"(6,6)","{(0,1),(0,4),(5,4),(1,1),(0,3),(4,2),(3,0),(5,0),(0,5),(1,3),(3,5)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.830421507358551,0.7996164908916586,0.812958435207824,0.9223300970873787,0.8641975308641975,0.5022327114794629,4.0807,255.597,2.696,0.3,128,"(6,6)","{(4,0),(0,4),(1,5),(0,3),(1,0),(4,5),(0,2),(5,3),(2,5),(1,3),(3,5)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.8494142293930054,0.7948226270373921,0.8180677540777918,0.9042995839112344,0.8590250329380764,0.4940196321460142,4.1975,248.483,2.621,0.3,128,"(6,6)","{(0,1),(5,5),(3,1),(1,1),(5,3),(3,0),(2,3),(0,2),(4,5),(1,0),(1,3)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.7984063029289246,0.800575263662512,0.8210262828535669,0.9098474341192788,0.863157894736842,0.5082510862832904,5.0446,206.757,2.181,0.3,128,"(6,6)","{(4,3),(1,5),(1,1),(2,0),(1,4),(4,5),(3,3),(5,0),(1,0),(2,5),(1,3)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.783741295337677,0.8063279002876318,0.8314176245210728,0.9029126213592233,0.8656914893617023,0.5264445981991445,3.6712,284.103,2.996,0.3,128,"(6,6)","{(1,2),(0,0),(4,3),(5,4),(0,3),(5,1),(4,2),(3,0),(0,2),(5,0),(2,2)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.7937053442001343,0.8120805369127517,0.8301886792452831,0.9153952843273232,0.8707124010554089,0.5383825234212567,4.6702,223.329,2.355,0.3,128,"(6,6)","{(5,5),(0,0),(4,3),(0,3),(5,1),(0,2),(2,2),(3,2),(2,5),(1,3),(3,5)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.7890743017196655,0.8044103547459253,0.8292993630573249,0.9029126213592233,0.8645418326693227,0.5211574366961753,4.6837,222.686,2.349,0.3,128,"(6,6)","{(2,4),(1,2),(0,4),(3,4),(3,1),(1,1),(5,1),(4,2),(3,3),(5,3),(2,5)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.7960947155952454,0.8092042186001918,0.823019801980198,0.9223300970873787,0.8698495748855462,0.5288024095653031,5.1587,202.184,2.132,0.3,128,"(6,6)","{(2,4),(5,5),(3,4),(4,3),(5,4),(2,0),(2,3),(0,5),(2,2),(3,5),(5,2)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.7959307432174683,0.8034515819750719,0.8274111675126904,0.9042995839112344,0.8641484426772696,0.5180298002282796,3.6519,285.604,3.012,0.3,128,"(6,6)","{(4,4),(0,1),(5,5),(2,1),(4,3),(3,1),(0,3),(4,2),(4,5),(2,2),(3,2)}","distilbert.transformer.layer.3.attention.out_lin.weight"
0.8100911378860474,0.8044103547459253,0.8259773013871374,0.9084604715672677,0.8652575957727873,0.5193137292119838,4.0554,257.188,2.712,0.3,128,"(6,6)","{(5,5),(2,1),(0,0),(3,1),(1,5),(5,1),(3,0),(4,5),(2,2),(2,5),(4,1)}","distilbert.transformer.layer.3.attention.out_lin.weight"
